Producto;DescripciÃ³n;Fabricante;Costo;Stock Total
3RP15251BP30;RELE TIEMPO (0.05 S 100 H, AC 24 200-240V);39;0.0;0.0
3RP15401BN31;RELE ELECTRONICO 240V 0.05S-600S;39;116.45;0.0
3RP15741NP30;RELE ESTRELLA TRIANGULO DE TIEMPO S/H 120, 240;39;59.43;1.0
3RP25051AW30;relé temporizador, multifunción 1 conmutado, 13 funciones 7 rangos de tiempo (0,05 s...100 h) AC/DC 12...240 V con AC 50/60 Hz con LED, borne de tornillo;39;99.35;0.0
3RP25121AW30;RELE TIEMPO 15S AC/DC 24-240 Vac/dc;39;38.300298;0.0
3RP25251AW30;Relé temporizador, electrónico retardado a la excitación 1 conmutado, 7 rangos de tiempo 0,05 s...100 h, 12-240 V AC/DC con 50/60 Hz AC con LED, conexión por tornillo;39;52.816561;1.0
3RQ3018-1AB00;elés de interfaz de salida relés de interfaz, 1 conmutado AC/DC 24 V 6,2 mm;39;0.0;0.0
3RT10151AB01;CONTACTOR S00 7A 24VAC;39;14.4;0.0
3RT10151AK61;CONTACTOR S00 7A 120V;39;14.534455;0.0
3RT1015-1AK61;CONTACTOR S00 7A 120V;39;14.4;0.0
3RT10151AN11;CONTACTOR S00 220V 7A;39;27.15;0.0
3RT10151AP01;CONTACTOR S00 7A 230V;39;17.16412;14.0
3RT10151BB41;CONTACTOR S00 7A 1NA, DC 24V;39;23.628319;0.0
3RT10151BB42;CONTACTOR S00 7A 24VDC 1NC;39;18.199966;0.0
3RT10161AB01;CONTACTOR S00 9A 24VAC;39;17.790526;0.0
3RT10161AK61;CONTACTOR S00 9A 120V;39;16.663654;0.0
3RT10161AN11;CONTACTOR 220V;39;21.450007;0.0
3RT10161AP01;Contactor de potencia, 3 AC 9 A, 4 kW/400 V 1 NA, 230 V AC, 50/60 Hz 3 polos, Tamaño S00 borne de tornillo !!! Producto a extinguir El sucesor es SIRIUS 3RT2 El tipo sucesor preferido es;39;19.425003;0.0
3RT10161AV61;CONTACTOR S00 9A 460V;39;11.9989;0.0
3RT10161BB41;CONTACTOR S00 9A  24VDC;39;22.750093;0.0
3RT10161BB44;CONTACTOR S00 9A 2NA+2NC 24VDC;39;25.9997;0.0
3RT10171AK61;CONTACTOR S00 12A 120V;39;21.060034;0.0
3RT10171AP01;CONTACTOR S00 12A 230V;39;21.450006;0.0
3RT10171BB41;CONTACTOR S00 12A 24VDC 1NA;39;25.73998;0.0
3RT10231AL20;CONTACTOR S0 9A 230V;39;11.980031;0.0
3RT10241AC20;CONTACTOR S0 12A 24VAC;39;18.729419;0.0
3RT10241AK60;CONTACTOR S0 12A 120V;39;24.050008;0.0
3RT10241AL20;CONTACTOR S0 12A 230V;39;23.838821;0.0
3RT10241AV60;CONTACTOR S0 12A 480V;39;16.253115;0.0
3RT10241BB40;CONTACTOR S0 12A 480V;39;45.499802;0.0
3RT10251AC20;CONTACTOR S0 17A 24VAC;39;27.95;0.0
3RT10251AK60;CONTACTOR S0 17A 120V;39;27.659004;0.0
3RT10251AL20;CONTACTOR S0 17A 230V;39;27.241076;0.0
3RT10261AC20;CONTACTOR S0 25A 24VAC;39;36.403409;0.0
3RT10261AK60;CONTACTOR S0 25A 120V;39;36.664031;0.0
3RT10261AL20;CONTACTOR S0 25A 230V;39;36.403409;0.0
3RT10261BB40;CONTACTOR S0 25A 24VDC;39;61.749952;0.0
3RT10341AC20;CONTACTOR S2 32A 24VAC;39;57.85229;0.0
3RT10341AK60;CONTACTOR S2 32A 120V;39;55.904145;0.0
3RT10341AL20;CONTACTOR S2 32A 230V;39;60.721798;0.0
3RT10351AC20;CONTACTOR S2 40A 24VAC;39;57.2;0.0
3RT10351AK60;CONTACTOR S2 40A 120V;39;69.16;0.0
3RT10351AL20;Contactor de potencia, 3 AC 40 A, 18.5 kW/400 V 230 V AC, 50/60 Hz, 3 polos, Tamaño S2, borne de tornillo !!! Producto a extinguir El sucesor es SIRIUS 3RT2 El tipo sucesor preferido es;39;68.822369;0.0
3RT1035-1AL20;: DUPLICADO CONTACTOR S2 230V (Bloqueado);39;56.0;0.0
3RT10351BB40;CONTACTOR S2 40A 24VDC;39;92.694563;1.0
3RT10361AK60;CONTACTOR S2 50A 120V;39;91.590183;0.0
3RT10361AL20;Contactor de potencia, 3 AC 50 A, 22 kW/400 V 230 V AC, 50/60 Hz, 3 polos, Tamaño S2, borne de tornillo !!! Producto a extinguir El sucesor es SIRIUS 3RT2 El tipo sucesor preferido es;39;115.215;4.0
3RT10441AC20;CONTACTOR S3 65A 24VAC;39;129.87;0.0
3RT10441AK60;CONTACTOR S3 65A 120V;39;129.87;0.0
3RT10441AL20;CONTACTOR S3 65A 230V;39;129.87;0.0
3RT10451AK60;CONTACTOR S3 80A 120V;39;155.94;0.0
3RT10451AL20;CONTACTOR S3 80A 230V;39;155.933495;0.0
3RT10461AK60;CONTACTOR S3 95A 120V;39;198.38;0.0
3RT10461AL20;CONTACTOR S3 95A 230V;39;182.65;0.0
3RT10541AF36;CONTACTOR S6 115A 120V;39;230.750235;0.0
3RT10541AP36;contactor de potencia, AC-3e/AC-3 115 A, 55 kW / 400 V, AC (50-60 Hz)/DC Uc: 220-240 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: borne tipo marco;39;354.86;0.0
3RT10552AR36;Contactor de potencia, AC-3 150 A, 75 kW/400 V AC(50-60 Hz)/mando por DC 440-480 V;39;0.0;0.0
3RT10552NB36;contactor de potencia, AC-3e/AC-3 150 A, 75 kW/400 V AC (50-60 Hz)/DC Uc:  21-27, 3 V entrada PLC 24 V DC tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: electrónico circuito ppal.:;39;452.08;1.0
3RT10556AF36;contactor de potencia, AC-3e/AC-3 150 A, 75 kW/400 V AC (50-60 Hz)/DC Uc:  110-127 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;433.6;1.0
3RT10556AP36;contactor de potencia, AC-3e/AC-3 150 A, 75 kW/400 V AC (50-60 Hz)/DC Uc:  220-240 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;417.84833;1.0
3RT10566AF36;contactor de potencia, AC-3e/AC-3 185 A, 90 kW/400 V AC (50-60 Hz)/DC Uc:  110-127 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;500.1;0.0
3RT10566AP36;contactor de potencia, AC-3e/AC-3 185 A, 90 kW/400 V AC (50-60 Hz)/DC Uc:  220-240 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;535.313333;3.0
3RT10646AF36;contactor de potencia, AC-3e/AC-3 225 A, 110 kW/400 V AC (50-60 Hz)/DC Uc: 110-127 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;615.47;0.0
3RT10646AP36;contactor de potencia, AC-3e/AC-3 225 A, 110 kW/400 V AC (50-60 Hz)/DC Uc: 220-240 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;530.361976;1.0
3RT10652AR36;contactor de potencia, AC-3e/AC-3 265 A, 132 kW/400 V AC (50-60 Hz)/DC Uc: 440-480 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;895.7;0.0
3RT10656AF36;contactor de potencia, AC-3e/AC-3 265 A, 132 kW/400 V AC (50-60 Hz)/DC Uc: 110-127 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;777.28;0.0
3RT10656AP36;contactor de potencia, AC-3e/AC-3 265 A, 132 kW/400 V AC (50-60 Hz)/DC Uc: 220-240 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;870.52;2.0
3RT10666AF36;CONTACTOR S10 300A 110-127V, 2NA+2NC;39;800.87;0.0
3RT10666AP36;CONTACTOR S10 300A 230V;39;543.800163;0.0
3RT10751AP36;CONTACTOR S12 400A 220 -240V 2NA+ZNC;39;1001.13;0.0
3RT10756AP36;contactor de potencia, AC-3e/AC-3 400 A, 200 kW/400 V AC (50-60 Hz)/DC Uc: 220-240 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;1205.93;0.0
3RT10766AP36;contactor de potencia, AC-3e/AC-3 500 A, 250 kW/400 V AC (50-60 Hz)/DC Uc: 220-240 V tripolar, contactos auxiliares 2 NA + 2 NC accionamiento: convencional circuito ppal.: barra circuito de;39;1454.911957;0.0
3RT16171AP03;CONTACTOR P/CAPACITOR 12.5 KVAR BOB 230V;39;70.2;0.0
3RT16271AL21;CONTACTOR 25 KVAR 480V. 230 V 60HZ;39;116.921335;0.0
3RT16471al21;CONTACTOR P7CAPACITOR 50 KVAR BOB 230 V;39;152.748938;0.0
3RT19245AC21;BOBINA P/CONTACTOR 3RT1023/26 S0 24VAC;39;7.181467;0.0
3RT19245AK61;BOBINA P/CONTACTOR 3RT1023/26 S0 120V;39;7.181467;0.0
3RT19245AL21;BOBINA P/CONTACTOR 3RT1023/26 S0 230V;39;7.852167;8.0
3RT19245AV01;BOBINA P/CONTACTOR 3RT1023/26 S0 440V;39;8.97;0.0
3RT19262FJ21;bloque de contactos auxiliares frontal rango de tiempo 0,5...10 s, 24 V AC/DC, 1 NA +1 NC;39;89.7;0.0
3RT1934-5AC11;BOBINA P/CONTACTOR 3RT1034 S2 230V;39;10.660376;0.0
3RT19345AC21;Bobina de excitación para contactores SIRIUS tamaño S2, bornes de tornillo, 24 V AC, 50/60 Hz !!! Producto a extinguir El sucesor es SIRIUS 3RT2;39;10.659284;0.0
3RT19345AK61;BOBINA P/CONTACTOR 3RT1034 S2 120V;39;12.043961;2.0
3RT19345AL21;BOBINA P/CONTACTOR 3RT1034 S2 230V;39;10.660376;0.0
3RT19346A;JGO. CONTACTOS PPAL. P/3RT1034;39;46.014828;4.0
3RT19355AC21;BOBINA P/CONTACTOR 3RT1035/36 S2 24VAC;39;10.400015;0.0
3RT19355AK61;BOBINA P/CONTACTOR 3RT1035/36 S2 120V;39;6.561234;0.0
3RT19355AL21;BOBINA P/CONTACTOR 3RT1035/36 S2 230V;39;12.285175;0.0
3RT19355AN21;BOBINA P/CONTACTOR 3RT1035/36 S2 220V;39;5.819248;0.0
3RT19355AV01;BOBINA P/CONTACTORES SIRIUS;39;10.66;0.0
3RT19356A;JGO. CONTACTOS PPAL. P/3RT1035;39;19.480662;0.0
3RT19366A;JGO. CONTACTOS PPAL. P/3RT1036;39;57.954776;0.0
3RT19445AC21;BOBINA P/CONTACTOR 3RT1044 S3 24VAC;39;14.30976;0.0
3RT19445AK61;Bobina de excitación para contactores SIRIUS Tamaño S3, bornes de tornillo, 110 V AC, 50Hz / 120 V, 60 Hz !!! Producto a extinguir El sucesor es SIRIUS 3RT2;39;17.45;1.0
3RT19445AL21;Bobina de excitación para contactores SIRIUS Tamaño S3, bornes de tornillo, 230 V AC, 50/60 Hz !!! Producto a extinguir El sucesor es SIRIUS 3RT2;39;7.08;3.0
3RT19445AV01;BOBINA P/CONTACTOR 3RT1044 440V;39;13.2;1.0
3RT19446A;JGO. CONTACTOS PPAL. P/3RT1044;39;50.24;0.0
3RT19455AK61;Bobina de excitación para contactores SIRIUS Tamaño S3, bornes de tornillo, 110 V AC, 50Hz / 120 V, 60 Hz !!! Producto a extinguir El sucesor es SIRIUS 3RT2;39;30.107896;0.0
3RT19455AL21;Bobina de excitación para contactores SIRIUS Tamaño S3, bornes de tornillo, 230 V AC, 50/60 Hz !!! Producto a extinguir El sucesor es SIRIUS 3RT2;39;27.56;1.0
3RT19456A;JGO. CONTACTOS PPAL. P/3RT1045;39;107.399895;0.0
3RT19466A;JGO. CONTACTOS PPAL. P/3RT1046;39;76.7;0.0
3RT19546A;JGO. CONTACTOS PPAL. P/3RT1054;39;78.956411;0.0
3RT19555AF31;Bobina extraíble para contactores 3RT105, 3RT145 AC (50...60 Hz) mando por DC, 110 ... 127 V, Accionamiento: estándar,circuito economizador borne de tornillo;39;44.286048;0.0
3RT19555AP31;BOBINA P/CONTACTOR 3RT1054/56 S6 230V;39;44.286048;0.0
3RT19556A;JGO. CONTACTOS PPAL. P/3RT1055;39;139.61;0.0
3RT19566A;JGO. CONTACTOS PPAL. P/3RT1056;39;157.7547;2.0
3RT19646A;JUEGO DE CONTACTOS PRINCIPALES P/3RT1064;39;225.070758;2.0
3RT19655AF31;BOBINA P/CONTACTOR 3RT1064/66 S6 120V;39;47.660015;2.0
3RT19655AP31;BOBINA P/CONTACTOR 3RT1064/66 S10 230V;39;23.520195;0.0
3RT19655AR31;BOBINA P/CONTACTOR 3RT1064/66 S10 440 V;39;55.05;0.0
3RT19656A;JGO. CONTACTOS PPAL. P/3RT1065;39;254.28;0.0
3RT19666A;JGO. CONTACTOS PPAL. P/3RT1066;39;335.69;0.0
3RT19755AF31;BOBINA P/CONTACTOR 3RT1075 120V;39;73.64;0.0
3RT19755AP31;Bobina extraíble para contactores 3RT107, 3RT147, AC (50...60 Hz) mando por DC, 220 ... 240 V, Accionamiento: estándar,circuito economizador borne de tornillo;39;92.3;0.0
3RT20151AB01;contactor de potencia, AC-3e/AC-3, 7 A, 3 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;33.15;0.0
3RT20151AK61;contactor de potencia, AC-3e/AC-3, 7 A, 3 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;23.12;4.0
3RT20151AP01;contactor de potencia, AC-3e/AC-3, 7 A, 3 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;22.560003;6.0
3RT20151AV61;contactor de potencia, AC-3e/AC-3, 7 A, 3 kW/400 V, tripolar, 480 V AC, 60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;16.08;0.0
3RT20151BB41;contactor de potencia, AC-3e/AC-3, 7 A, 3 kW/400 V, tripolar, 24 V DC, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;26.626813;3.0
3RT20151BB42;CONTACTOR 3N0+3NC 7A 24DC,S00;39;21.450147;0.0
3RT20161AB01;contactor de potencia, AC-3e/AC-3, 9 A, 4 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;24.78;2.0
3RT20161AK61;contactor de potencia, AC-3e/AC-3, 9 A, 4 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;24.78;3.0
3RT20161AP01;contactor de potencia, AC-3e/AC-3, 9 A, 4 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;24.779312;2.0
3RT20161AV61;CONTACTOR 9A 1NC 1NO 480V;39;17.4;0.0
3RT20161BB41;contactor de potencia, AC-3e/AC-3, 9 A, 4 kW/400 V, tripolar, 24 V DC, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;28.94;6.0
3RT20161BB42;CONTACTOR 9A 24VDC 1NC, S00;39;0.0;0.0
3RT20161BB44;CONTACTOR 9A 24VDC 2NC+2NO;39;27.15;0.0
3RT20162AB02;CONTACTOR 9A 1NC 24 VAC S00;39;33.16;0.0
3RT20171AB01;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;30.56;4.0
3RT20171AH01;CONTACTOR, 1NA, 12A, 48VAC. S00.;39;0.0;0.0
3RT20171AK61;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;34.78;0.0
3RT20171AP01;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;30.56;6.0
3RT20171AV61;CONTACTOR 1NO 12A 1NA 480VAC S00;39;0.0;0.0
3RT20171BA41;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 12 V DC, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;22.702595;1.0
3RT20171BB40;CONTACTOR S00 12A 1NA 24VDC;39;0.0;0.0
3RT20171BB41;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 24 V DC, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;31.45;0.0
3RT20171BB42;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 24 V DC, contactos auxiliares: 1 NC, borne de tornillo, tamaño: S00;39;50.05;21.0
3RT20181AK61;contactor de potencia, AC-3e/AC-3, 16 A, 7,5 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;38.76;1.0
3RT20181AP01;contactor de potencia, AC-3e/AC-3, 16 A, 7,5 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA, borne de tornillo, tamaño: S00;39;38.282714;1.0
3RT20181AV61;CONTACTOR S00 18 A 400V;39;29.51;0.0
3RT20241AC20;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;45.499148;2.0
3RT20241AK60;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;32.28;0.0
3RT20241AL20;contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;32.28;4.0
3RT20241AV60;CONTACTOR 3-5 1NA;39;24.38;0.0
3RT20251AC20;contactor de potencia, AC-3e/AC-3, 17 A, 7,5 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;42.82;1.0
3RT20251AK60;contactor de potencia, AC-3e/AC-3, 17 A, 7,5 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;42.82;2.0
3RT20251AL20;contactor de potencia, AC-3e/AC-3, 17 A, 7,5 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;42.651768;6.0
3RT20251AV60;CONTACTOR S0 16A 1NA-1NC 480V;39;32.43;0.0
3RT20251BB40;contactor de potencia, AC-3e/AC-3, 17 A, 7,5 kW/400 V, tripolar, 24 V DC, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;76.52;1.0
3RT20261AC20;contactor de potencia, AC-3e/AC-3, 25 A, 11 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;57.11;4.0
3RT20261AK60;contactor de potencia, AC-3e/AC-3, 25 A, 11 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;57.110006;8.0
3RT20261AL20;contactor de potencia, AC-3e/AC-3, 25 A, 11 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;57.108607;31.0
3RT20261AV60;contactor de potencia, AC-3e/AC-3, 25 A, 11 kW/400 V, tripolar, 480 V AC, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;59.34;17.0
3RT20261BB40;contactor de potencia, AC-3e/AC-3, 25 A, 11 kW/400 V, tripolar, 24 V DC, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;90.93;1.0
3RT20271AC20;contactor de potencia, AC-3e/AC-3, 32 A, 15 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;82.07;0.0
3RT20271AK60;contactor de potencia, AC-3e/AC-3, 32 A, 15 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;81.806905;0.0
3RT20271AL20;contactor de potencia, AC-3e/AC-3, 32 A, 15 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;82.07;6.0
3RT20271AV60;contactor de potencia, AC-3e/AC-3, 32 A, 15 kW/400 V, tripolar, 480 V AC, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;68.37;0.0
3RT20271BB40;contactor de potencia, AC-3e/AC-3, 32 A, 15 kW/400 V, tripolar, 24 V DC, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;123.64;0.0
3RT20281AC20;contactor de potencia, AC-3e/AC-3, 38 A, 18,5 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;84.59;0.0
3RT20281AK60;contactor de potencia, AC-3e/AC-3, 38 A, 18,5 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;88.22;2.0
3RT20281AL20;contactor de potencia, AC-3e/AC-3, 38 A, 18,5 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;92.011852;4.0
3RT20281AV60;contactor de potencia, AC-3e/AC-3, 38 A, 18,5 kW/400 V, tripolar, 480 V AC, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S0;39;87.43;2.0
3RT20281BB40;CONTACTOR 1NA+1NC,38A,24VDC. S0;39;106.6;0.0
3RT20351AC20;contactor de potencia, AC-3e/AC-3, 41 A, 18,5 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;97.048333;2.0
3RT20351AK60;contactor de potencia, AC-3e/AC-3, 41 A, 18,5 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;97.04;2.0
3RT20351AL20;contactor de potencia, AC-3e/AC-3, 41 A, 18,5 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;97.04;11.0
3RT20351AV60;CONTACTOR S2 480V. 40A. 1NA-1NC;39;78.65;0.0
3RT20351KB40;CONTACTOR  1NO+1NC, 40A, 24VDC, S2;39;0.0;0.0
3RT20351NB30;CONTACTOR DE 40A, BOB AC/DC 20-30V;39;115.699567;0.0
3RT20361AC20;contactor de potencia, AC-3e/AC-3, 51 A, 22 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;123.09;1.0
3RT20361AK60;contactor de potencia, AC-3e/AC-3, 51 A, 22 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;123.09;3.0
3RT20361AK60/22911;CONTACTOR, 4NA+4NC, 50A, 120VAC.;39;0.0;0.0
3RT20361AL20;contactor de potencia, AC-3e/AC-3, 51 A, 22 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;123.09;9.0
3RT20361KB40;contactor de potencia, AC-3e/AC-3, 51 A, 22 kW/400 V, tripolar, 24 V DC, 0,8-1,2* US, con varistor integrado, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2, apto para salidas;39;171.461632;4.0
3RT20361NB30;contactor de potencia, AC-3e/AC-3, 51 A, 22 kW/400 V, tripolar, 20-33 V AC/DC, 50/60 Hz, con varistor integrado, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;159.560149;0.0
3RT20371AC20;CONTACTOR 24 VAC 65A 1NA + 1 NC S2;39;0.0;0.0
3RT20371AK60;contactor de potencia, AC-3e/AC-3, 65 A, 30 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;173.54;2.0
3RT20371AL20;contactor de potencia, AC-3e/AC-3, 65 A, 30 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;173.54;8.0
3RT20371AV60;contactor de potencia, AC-3e/AC-3, 65 A, 30 kW/400 V, tripolar, 480 V AC, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;175.77;0.0
3RT20371NB30;CONTACTOR 1NA+1NC, 65 20-33VDC S2;39;0.0;0.0
3RT20381AC20;contactor de potencia, AC-3e/AC-3, 80 A, 37 kW/400 V, tripolar, 24 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;193.52;0.0
3RT20381AK60;contactor de potencia, AC-3e/AC-3, 80 A, 37 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;193.52;0.0
3RT20381AL20;contactor de potencia, AC-3e/AC-3, 80 A, 37 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S2;39;193.52;3.0
3RT20381AV60;CONTACTOR 1NA+1NC, 80A,480VAC. S2;39;0.0;0.0
3RT20461AK60;contactor de potencia, AC-3e/AC-3, 95 A, 45 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S3;39;261.16;1.0
3RT20461AK60/22911;CONTACTOR, 4NA+4NC, 95A, 120VAC. S3;39;0.0;0.0
3RT20461AL20;contactor de potencia, AC-3e/AC-3, 95 A, 45 kW/400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S3;39;261.16;2.0
3RT20471AK60;contactor de potencia, AC-3e/AC-3, 110 A, 55 kW / 400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S3;39;251.28;0.0
3RT20471AL20;contactor de potencia, AC-3e/AC-3, 110 A, 55 kW / 400 V, tripolar, 230 V AC, 50/60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S3;39;302.2;0.0
3RT26171AP63;contactor para condensador, AC-6b 12,5 kVAr, /400 V, tripolar, 220 V AC, 50 Hz/240 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamaño: S00;39;99.45;0.0
